NelsonMountainTuff,RatCreekTuff,CebollaCreekTuff,SnowshoeMountainTuff,support,precision,recall,local_f1,micro f1,macro f1,weighted f1,iteration,drop
89,8,3,0,100,0.7946428571428571,0.89,0.839622641509434,0.8975,0.8989292848799211,0.8989292848799211,0,no_drop
9,91,0,0,100,0.8921568627450981,0.91,0.900990099009901,0.8975,0.8989292848799211,0.8989292848799211,0,no_drop
5,3,92,0,100,0.9292929292929292,0.92,0.9246231155778896,0.8975,0.8989292848799211,0.8989292848799211,0,no_drop
9,0,4,87,100,1.0,0.87,0.9304812834224598,0.8975,0.8989292848799211,0.8989292848799211,0,no_drop
82,13,4,1,100,0.82,0.82,0.82,0.8925,0.8926775821031145,0.8926775821031145,0,plag
4,96,0,0,100,0.8495575221238938,0.96,0.9014084507042252,0.8925,0.8926775821031145,0.8926775821031145,0,plag
2,4,94,0,100,0.9306930693069309,0.94,0.9353233830845772,0.8925,0.8926775821031145,0.8926775821031145,0,plag
12,0,3,85,100,0.9883720930232558,0.85,0.9139784946236558,0.8925,0.8926775821031145,0.8926775821031145,0,plag
60,26,11,3,100,0.4918032786885246,0.6,0.5405405405405406,0.6775,0.6784026315276315,0.6784026315276315,0,san
13,85,1,1,100,0.6854838709677419,0.85,0.7589285714285714,0.6775,0.6784026315276315,0.6784026315276315,0,san
15,11,74,0,100,0.7551020408163265,0.74,0.7474747474747474,0.6775,0.6784026315276315,0.6784026315276315,0,san
34,2,12,52,100,0.9285714285714286,0.52,0.6666666666666666,0.6775,0.6784026315276315,0.6784026315276315,0,san
82,13,4,1,100,0.82,0.82,0.82,0.8925,0.8926775821031145,0.8926775821031145,0,biot
4,96,0,0,100,0.8495575221238938,0.96,0.9014084507042252,0.8925,0.8926775821031145,0.8926775821031145,0,biot
2,4,94,0,100,0.9306930693069309,0.94,0.9353233830845772,0.8925,0.8926775821031145,0.8926775821031145,0,biot
12,0,3,85,100,0.9883720930232558,0.85,0.9139784946236558,0.8925,0.8926775821031145,0.8926775821031145,0,biot
82,13,4,1,100,0.82,0.82,0.82,0.8925,0.8926775821031145,0.8926775821031145,0,cpx
4,96,0,0,100,0.8495575221238938,0.96,0.9014084507042252,0.8925,0.8926775821031145,0.8926775821031145,0,cpx
2,4,94,0,100,0.9306930693069309,0.94,0.9353233830845772,0.8925,0.8926775821031145,0.8926775821031145,0,cpx
12,0,3,85,100,0.9883720930232558,0.85,0.9139784946236558,0.8925,0.8926775821031145,0.8926775821031145,0,cpx
82,13,4,1,100,0.82,0.82,0.82,0.8925,0.8926775821031145,0.8926775821031145,0,glass_maj
4,96,0,0,100,0.8495575221238938,0.96,0.9014084507042252,0.8925,0.8926775821031145,0.8926775821031145,0,glass_maj
2,4,94,0,100,0.9306930693069309,0.94,0.9353233830845772,0.8925,0.8926775821031145,0.8926775821031145,0,glass_maj
12,0,3,85,100,0.9883720930232558,0.85,0.9139784946236558,0.8925,0.8926775821031145,0.8926775821031145,0,glass_maj
78,15,2,5,100,0.65,0.78,0.709090909090909,0.81,0.8147472626345865,0.8147472626345865,0,glass_tr
12,87,1,0,100,0.7699115044247787,0.87,0.8169014084507041,0.81,0.8147472626345865,0.8147472626345865,0,glass_tr
15,6,79,0,100,0.9634146341463414,0.79,0.8681318681318682,0.81,0.8147472626345865,0.8147472626345865,0,glass_tr
15,5,0,80,100,0.9411764705882352,0.8,0.8648648648648648,0.81,0.8147472626345865,0.8147472626345865,0,glass_tr
82,13,4,1,100,0.82,0.82,0.82,0.8925,0.8926775821031145,0.8926775821031145,0,horn
4,96,0,0,100,0.8495575221238938,0.96,0.9014084507042252,0.8925,0.8926775821031145,0.8926775821031145,0,horn
2,4,94,0,100,0.9306930693069309,0.94,0.9353233830845772,0.8925,0.8926775821031145,0.8926775821031145,0,horn
12,0,3,85,100,0.9883720930232558,0.85,0.9139784946236558,0.8925,0.8926775821031145,0.8926775821031145,0,horn
90,0,1,9,100,0.967741935483871,0.9,0.932642487046632,0.9250000000000002,0.9264819067398576,0.9264819067398576,1,no_drop
0,89,2,9,100,1.0,0.89,0.9417989417989416,0.9250000000000002,0.9264819067398576,0.9264819067398576,1,no_drop
0,0,95,5,100,0.9595959595959596,0.95,0.9547738693467336,0.9250000000000002,0.9264819067398576,0.9264819067398576,1,no_drop
3,0,1,96,100,0.8067226890756303,0.96,0.8767123287671232,0.9250000000000002,0.9264819067398576,0.9264819067398576,1,no_drop
92,3,0,5,100,0.9484536082474226,0.92,0.934010152284264,0.9375,0.9374047886264604,0.9374047886264604,1,plag
1,91,5,3,100,0.9479166666666666,0.91,0.9285714285714284,0.9375,0.9374047886264604,0.9374047886264604,1,plag
0,2,97,1,100,0.941747572815534,0.97,0.9556650246305418,0.9375,0.9374047886264604,0.9374047886264604,1,plag
4,0,1,95,100,0.9134615384615384,0.95,0.9313725490196078,0.9375,0.9374047886264604,0.9374047886264604,1,plag
58,5,4,33,100,0.8169014084507042,0.58,0.6783625730994152,0.7625,0.7613733546087706,0.7613733546087706,1,san
2,73,15,10,100,0.9125,0.73,0.811111111111111,0.7625,0.7613733546087706,0.7613733546087706,1,san
1,2,89,8,100,0.7876106194690266,0.89,0.8356807511737089,0.7625,0.7613733546087706,0.7613733546087706,1,san
10,0,5,85,100,0.625,0.85,0.7203389830508474,0.7625,0.7613733546087706,0.7613733546087706,1,san
92,3,0,5,100,0.9484536082474226,0.92,0.934010152284264,0.9375,0.9374047886264604,0.9374047886264604,1,biot
1,91,5,3,100,0.9479166666666666,0.91,0.9285714285714284,0.9375,0.9374047886264604,0.9374047886264604,1,biot
0,2,97,1,100,0.941747572815534,0.97,0.9556650246305418,0.9375,0.9374047886264604,0.9374047886264604,1,biot
4,0,1,95,100,0.9134615384615384,0.95,0.9313725490196078,0.9375,0.9374047886264604,0.9374047886264604,1,biot
92,3,0,5,100,0.9484536082474226,0.92,0.934010152284264,0.9375,0.9374047886264604,0.9374047886264604,1,cpx
1,91,5,3,100,0.9479166666666666,0.91,0.9285714285714284,0.9375,0.9374047886264604,0.9374047886264604,1,cpx
0,2,97,1,100,0.941747572815534,0.97,0.9556650246305418,0.9375,0.9374047886264604,0.9374047886264604,1,cpx
4,0,1,95,100,0.9134615384615384,0.95,0.9313725490196078,0.9375,0.9374047886264604,0.9374047886264604,1,cpx
92,3,0,5,100,0.9484536082474226,0.92,0.934010152284264,0.9375,0.9374047886264604,0.9374047886264604,1,glass_maj
1,91,5,3,100,0.9479166666666666,0.91,0.9285714285714284,0.9375,0.9374047886264604,0.9374047886264604,1,glass_maj
0,2,97,1,100,0.941747572815534,0.97,0.9556650246305418,0.9375,0.9374047886264604,0.9374047886264604,1,glass_maj
4,0,1,95,100,0.9134615384615384,0.95,0.9313725490196078,0.9375,0.9374047886264604,0.9374047886264604,1,glass_maj
81,6,4,9,100,0.8617021276595744,0.81,0.8350515463917526,0.8275,0.8252005187332447,0.8252005187332447,1,glass_tr
6,68,18,8,100,0.8947368421052632,0.68,0.7727272727272727,0.8275,0.8252005187332447,0.8252005187332447,1,glass_tr
0,2,91,7,100,0.7913043478260869,0.91,0.8465116279069768,0.8275,0.8252005187332447,0.8252005187332447,1,glass_tr
7,0,2,91,100,0.7913043478260869,0.91,0.8465116279069768,0.8275,0.8252005187332447,0.8252005187332447,1,glass_tr
92,3,0,5,100,0.9484536082474226,0.92,0.934010152284264,0.9375,0.9374047886264604,0.9374047886264604,1,horn
1,91,5,3,100,0.9479166666666666,0.91,0.9285714285714284,0.9375,0.9374047886264604,0.9374047886264604,1,horn
