NelsonMountainTuff,RatCreekTuff,CebollaCreekTuff,SnowshoeMountainTuff,support,precision,recall,local_f1,micro f1,macro f1,weighted f1,iteration,drop
88,7,4,1,100,0.9565217391304348,0.88,0.9166666666666666,0.9449999999999998,0.9447022352168232,0.9447022352168232,0,no_drop
1,98,1,0,100,0.9245283018867924,0.98,0.9514563106796116,0.9449999999999998,0.9447022352168232,0.9447022352168232,0,no_drop
0,1,99,0,100,0.9166666666666666,0.99,0.9519230769230768,0.9449999999999998,0.9447022352168232,0.9447022352168232,0,no_drop
3,0,4,93,100,0.9893617021276596,0.93,0.9587628865979382,0.9449999999999998,0.9447022352168232,0.9447022352168232,0,no_drop
81,7,11,1,100,0.8804347826086957,0.81,0.84375,0.8775,0.8762567343141007,0.8762567343141007,0,plag
0,97,3,0,100,0.9150943396226416,0.97,0.941747572815534,0.8775,0.8762567343141007,0.8762567343141007,0,plag
0,2,98,0,100,0.7777777777777778,0.98,0.8672566371681417,0.8775,0.8762567343141007,0.8762567343141007,0,plag
11,0,14,75,100,0.986842105263158,0.75,0.8522727272727272,0.8775,0.8762567343141007,0.8762567343141007,0,plag
71,16,12,1,100,0.8452380952380952,0.71,0.7717391304347825,0.835,0.8316257604171177,0.8316257604171178,0,san
1,96,3,0,100,0.8275862068965517,0.96,0.888888888888889,0.835,0.8316257604171177,0.8316257604171178,0,san
0,3,97,0,100,0.751937984496124,0.97,0.8471615720524017,0.835,0.8316257604171177,0.8316257604171178,0,san
12,1,17,70,100,0.9859154929577464,0.7,0.8187134502923976,0.835,0.8316257604171177,0.8316257604171178,0,san
87,9,4,0,100,0.9157894736842104,0.87,0.8923076923076922,0.9175,0.917652089033454,0.917652089033454,0,biot
3,92,5,0,100,0.8932038834951457,0.92,0.9064039408866996,0.9175,0.917652089033454,0.917652089033454,0,biot
0,2,98,0,100,0.875,0.98,0.9245283018867924,0.9175,0.917652089033454,0.917652089033454,0,biot
5,0,5,90,100,1.0,0.9,0.9473684210526316,0.9175,0.917652089033454,0.917652089033454,0,biot
87,8,4,1,100,0.9456521739130436,0.87,0.90625,0.94,0.9396942223963104,0.9396942223963106,0,cpx
1,98,1,0,100,0.9074074074074074,0.98,0.9423076923076924,0.94,0.9396942223963104,0.9396942223963106,0,cpx
0,2,98,0,100,0.9245283018867924,0.98,0.9514563106796116,0.94,0.9396942223963104,0.9396942223963106,0,cpx
4,0,3,93,100,0.9893617021276596,0.93,0.9587628865979382,0.94,0.9396942223963104,0.9396942223963106,0,cpx
87,8,4,1,100,0.9456521739130436,0.87,0.90625,0.94,0.9396942223963104,0.9396942223963106,0,glass_maj
1,98,1,0,100,0.9074074074074074,0.98,0.9423076923076924,0.94,0.9396942223963104,0.9396942223963106,0,glass_maj
0,2,98,0,100,0.9245283018867924,0.98,0.9514563106796116,0.94,0.9396942223963104,0.9396942223963106,0,glass_maj
4,0,3,93,100,0.9893617021276596,0.93,0.9587628865979382,0.94,0.9396942223963104,0.9396942223963106,0,glass_maj
84,2,13,1,100,0.9655172413793104,0.84,0.8983957219251336,0.9125,0.914293708501662,0.9142937085016618,0,glass_tr
1,90,9,0,100,0.9782608695652174,0.9,0.9375,0.9125,0.914293708501662,0.9142937085016618,0,glass_tr
0,0,100,0,100,0.7751937984496124,1.0,0.8733624454148472,0.9125,0.914293708501662,0.9142937085016618,0,glass_tr
2,0,7,91,100,0.9891304347826086,0.91,0.9479166666666669,0.9125,0.914293708501662,0.9142937085016618,0,glass_tr
87,8,4,1,100,0.9456521739130436,0.87,0.90625,0.94,0.9396942223963104,0.9396942223963106,0,horn
1,98,1,0,100,0.9074074074074074,0.98,0.9423076923076924,0.94,0.9396942223963104,0.9396942223963106,0,horn
0,2,98,0,100,0.9245283018867924,0.98,0.9514563106796116,0.94,0.9396942223963104,0.9396942223963106,0,horn
4,0,3,93,100,0.9893617021276596,0.93,0.9587628865979382,0.94,0.9396942223963104,0.9396942223963106,0,horn
96,0,2,2,100,1.0,0.96,0.979591836734694,0.9725,0.9726691068979704,0.9726691068979704,1,no_drop
0,94,6,0,100,1.0,0.94,0.9690721649484536,0.9725,0.9726691068979704,0.9726691068979704,1,no_drop
0,0,100,0,100,0.9174311926605504,1.0,0.9569377990430622,0.9725,0.9726691068979704,0.9726691068979704,1,no_drop
0,0,1,99,100,0.9801980198019802,0.99,0.9850746268656716,0.9725,0.9726691068979704,0.9726691068979704,1,no_drop
90,0,4,6,100,0.9473684210526316,0.9,0.9230769230769232,0.9350000000000002,0.9352244797962372,0.9352244797962372,1,plag
0,93,7,0,100,1.0,0.93,0.9637305699481864,0.9350000000000002,0.9352244797962372,0.9352244797962372,1,plag
0,0,100,0,100,0.8695652173913043,1.0,0.9302325581395348,0.9350000000000002,0.9352244797962372,0.9352244797962372,1,plag
5,0,4,91,100,0.9381443298969072,0.91,0.9238578680203046,0.9350000000000002,0.9352244797962372,0.9352244797962372,1,plag
73,1,6,20,100,0.9125,0.73,0.811111111111111,0.8825,0.8809760885874348,0.8809760885874348,1,san
4,90,6,0,100,0.989010989010989,0.9,0.9424083769633508,0.8825,0.8809760885874348,0.8809760885874348,1,san
0,0,100,0,100,0.8403361344537815,1.0,0.91324200913242,0.8825,0.8809760885874348,0.8809760885874348,1,san
3,0,7,90,100,0.8181818181818182,0.9,0.8571428571428572,0.8825,0.8809760885874348,0.8809760885874348,1,san
94,1,3,2,100,0.9690721649484536,0.94,0.9543147208121826,0.9449999999999998,0.944823442056859,0.9448234420568592,1,biot
3,85,12,0,100,0.9883720930232558,0.85,0.9139784946236558,0.9449999999999998,0.944823442056859,0.9448234420568592,1,biot
