NelsonMountainTuff,RatCreekTuff,CebollaCreekTuff,SnowshoeMountainTuff,support,precision,recall,local_f1,micro f1,macro f1,weighted f1,iteration,drop
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,no_drop
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,no_drop
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,no_drop
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,no_drop
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,plag
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,plag
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,plag
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,plag
100,0,0,0,100,1.0,1.0,1.0,0.9775,0.9774543450487236,0.9774543450487236,0,san
0,100,0,0,100,1.0,1.0,1.0,0.9775,0.9774543450487236,0.9774543450487236,0,san
0,0,100,0,100,0.9174311926605504,1.0,0.9569377990430622,0.9775,0.9774543450487236,0.9774543450487236,0,san
0,0,9,91,100,1.0,0.91,0.9528795811518324,0.9775,0.9774543450487236,0.9774543450487236,0,san
97,2,0,1,100,1.0,0.97,0.9847715736040608,0.9925,0.9924738647817354,0.9924738647817354,0,biot
0,100,0,0,100,0.9803921568627452,1.0,0.99009900990099,0.9925,0.9924738647817354,0.9924738647817354,0,biot
0,0,100,0,100,1.0,1.0,1.0,0.9925,0.9924738647817354,0.9924738647817354,0,biot
0,0,0,100,100,0.99009900990099,1.0,0.9950248756218906,0.9925,0.9924738647817354,0.9924738647817354,0,biot
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,cpx
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,cpx
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,cpx
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,cpx
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_maj
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_maj
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_maj
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_maj
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_tr
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_tr
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_tr
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_tr
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,horn
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,horn
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,horn
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,horn
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,zinc
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,zinc
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,zinc
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,zinc
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,no_drop
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,no_drop
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,no_drop
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1,no_drop
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,plag
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,plag
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,plag
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1,plag
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,san
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,san
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,san
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1,san
97,0,0,3,100,1.0,0.97,0.9847715736040608,0.9925,0.9924983121202272,0.992498312120227,1,biot
0,100,0,0,100,1.0,1.0,1.0,0.9925,0.9924983121202272,0.992498312120227,1,biot
0,0,100,0,100,1.0,1.0,1.0,0.9925,0.9924983121202272,0.992498312120227,1,biot
0,0,0,100,100,0.970873786407767,1.0,0.9852216748768472,0.9925,0.9924983121202272,0.992498312120227,1,biot
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,cpx
