NelsonMountainTuff,RatCreekTuff,CebollaCreekTuff,SnowshoeMountainTuff,support,precision,recall,local_f1,micro f1,macro f1,weighted f1,iteration,drop
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,no_drop
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,no_drop
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,no_drop
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,no_drop
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,plag
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,plag
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,plag
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,plag
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,san
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,san
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,san
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,san
68,24,4,4,100,0.7816091954022989,0.68,0.7272727272727274,0.81,0.8037740549882367,0.8037740549882366,0,biot
0,100,0,0,100,0.7575757575757576,1.0,0.8620689655172413,0.81,0.8037740549882367,0.8037740549882366,0,biot
0,8,92,0,100,0.8141592920353983,0.92,0.863849765258216,0.81,0.8037740549882367,0.8037740549882366,0,biot
19,0,17,64,100,0.9411764705882352,0.64,0.7619047619047621,0.81,0.8037740549882367,0.8037740549882366,0,biot
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,cpx
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,cpx
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,cpx
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,cpx
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_maj
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_maj
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_maj
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_maj
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_tr
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_tr
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_tr
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_tr
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,horn
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,horn
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,horn
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,horn
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,zinc
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,zinc
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,zinc
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,zinc
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,no_drop
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,no_drop
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,no_drop
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1,no_drop
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,plag
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,plag
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,plag
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1,plag
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,san
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,san
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,san
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1,san
63,0,1,36,100,1.0,0.63,0.7730061349693252,0.905,0.9014145840899191,0.9014145840899191,1,biot
0,100,0,0,100,1.0,1.0,1.0,0.905,0.9014145840899191,0.9014145840899191,1,biot
0,0,100,0,100,0.9803921568627452,1.0,0.99009900990099,0.905,0.9014145840899191,0.9014145840899191,1,biot
0,0,1,99,100,0.7333333333333333,0.99,0.8425531914893618,0.905,0.9014145840899191,0.9014145840899191,1,biot
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,cpx
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,cpx
