NelsonMountainTuff,RatCreekTuff,CebollaCreekTuff,SnowshoeMountainTuff,support,precision,recall,local_f1,micro f1,macro f1,weighted f1,iteration,drop
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,no_drop
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,no_drop
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,no_drop
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,no_drop
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,plag
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,plag
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,plag
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,plag
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,san
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,san
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,san
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,san
76,23,0,1,100,0.987012987012987,0.76,0.8587570621468925,0.9275,0.9273515419010132,0.9273515419010132,0,biot
0,100,0,0,100,0.7874015748031497,1.0,0.881057268722467,0.9275,0.9273515419010132,0.9273515419010132,0,biot
0,4,96,0,100,1.0,0.96,0.979591836734694,0.9275,0.9273515419010132,0.9273515419010132,0,biot
1,0,0,99,100,0.99,0.99,0.99,0.9275,0.9273515419010132,0.9273515419010132,0,biot
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,cpx
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,cpx
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,cpx
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,cpx
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_maj
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_maj
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_maj
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_maj
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_tr
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_tr
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_tr
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,glass_tr
100,0,0,0,100,1.0,1.0,1.0,0.9975,0.9974999374984376,0.9974999374984376,0,horn
0,99,1,0,100,1.0,0.99,0.9949748743718592,0.9975,0.9974999374984376,0.9974999374984376,0,horn
0,0,100,0,100,0.99009900990099,1.0,0.9950248756218906,0.9975,0.9974999374984376,0.9974999374984376,0,horn
0,0,0,100,100,1.0,1.0,1.0,0.9975,0.9974999374984376,0.9974999374984376,0,horn
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,zinc
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,zinc
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,0,zinc
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,0,zinc
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,no_drop
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,no_drop
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,no_drop
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1,no_drop
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,plag
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,plag
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,plag
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1,plag
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,san
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,san
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,san
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1,san
88,0,0,12,100,0.9887640449438202,0.88,0.9312169312169312,0.9675,0.9674013892023372,0.9674013892023372,1,biot
0,100,0,0,100,1.0,1.0,1.0,0.9675,0.9674013892023372,0.9674013892023372,1,biot
0,0,100,0,100,1.0,1.0,1.0,0.9675,0.9674013892023372,0.9674013892023372,1,biot
1,0,0,99,100,0.8918918918918919,0.99,0.9383886255924172,0.9675,0.9674013892023372,0.9674013892023372,1,biot
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,1,cpx
